"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.917814136E0,9.098244667E0,3.299310684E0,9.866180521E0
1.864308000E-3,-1.927391171E0,9.081484795E0,3.366350412E0,9.875247739E0
3.866308000E-3,-1.924996972E0,9.038387299E0,3.569863796E0,9.906663708E0
5.868308000E-3,-1.898659945E0,8.976136208E0,3.684788942E0,9.887042043E0
7.870308000E-3,-1.886688590E0,8.961771011E0,3.902667999E0,9.955086690E0
9.872308000E-3,-1.850774407E0,8.921068192E0,4.082238674E0,9.983761625E0
1.187053800E-2,-1.824437380E0,8.889942169E0,4.180403709E0,9.991767546E0
1.387253800E-2,-1.793311834E0,8.865999222E0,4.357580185E0,1.004043896E1
1.587453800E-2,-1.750214934E0,8.786988258E0,4.565882206E0,1.005592837E1
1.784557700E-2,-1.723877907E0,8.753468513E0,4.668835640E0,1.006940874E1
1.984757700E-2,-1.673598051E0,8.669669151E0,4.925023079E0,1.011038802E1
2.184957700E-2,-1.606558442E0,8.616994858E0,5.214730740E0,1.019936503E1
2.385157700E-2,-1.565855742E0,8.597841263E0,5.339232922E0,1.024120046E1
2.585357700E-2,-1.496421814E0,8.535589218E0,5.583448887E0,1.030875662E1
2.785557700E-2,-1.438959122E0,8.514040947E0,5.791750908E0,1.039730134E1
2.985757700E-2,-1.410227895E0,8.499675751E0,5.875550270E0,1.042858195E1
3.185957700E-2,-1.367130876E0,8.463761330E0,6.014418125E0,1.047270395E1
3.386157700E-2,-1.340793848E0,8.447001457E0,6.112583637E0,1.051252779E1
3.586357700E-2,-1.324033976E0,8.442213058E0,6.155680656E0,1.053168703E1
3.786557700E-2,-1.302485466E0,8.447001457E0,6.189200401E0,1.055246434E1
3.986757700E-2,-1.297696948E0,8.468549728E0,6.184412003E0,1.056632877E1
4.186957700E-2,-1.309668303E0,8.487704277E0,6.165257454E0,1.057197968E1
4.387157700E-2,-1.319245458E0,8.552350044E0,6.117372036E0,1.059742141E1
4.587357700E-2,-1.324033976E0,8.621783257E0,6.035966873E0,1.060759674E1
4.787557700E-2,-1.324033976E0,8.648120880E0,5.992869854E0,1.060460041E1
4.987757700E-2,-1.321639657E0,8.734314919E0,5.875550270E0,1.060929213E1
5.187957700E-2,-1.326428294E0,8.784594536E0,5.763019562E0,1.058966041E1
5.388157700E-2,-1.316851139E0,8.820508003E0,5.686402798E0,1.057689156E1
5.588357700E-2,-1.300091267E0,8.863605499E0,5.535563469E0,1.053072660E1
5.788557700E-2,-1.300091267E0,8.918673515E0,5.377541065E0,1.049528096E1
5.988757700E-2,-1.273754239E0,8.952193260E0,5.317684174E0,1.049008956E1
6.188957700E-2,-1.261782765E0,9.047964096E0,5.224307537E0,1.052383672E1
6.389157700E-2,-1.273754239E0,9.057541847E0,5.054314137E0,1.045024428E1
6.589357700E-2,-1.268965602E0,9.057541847E0,4.970514297E0,1.040938761E1
6.789557700E-2,-1.249811411E0,9.047964096E0,4.776578426E0,1.030744315E1
6.989757700E-2,-1.194743156E0,9.031204224E0,4.585036278E0,1.019865769E1
7.189957700E-2,-1.173194647E0,9.028810501E0,4.498842239E0,1.015555938E1
7.390157700E-2,-1.120520592E0,9.009655952E0,4.364762783E0,1.007375903E1
7.590357700E-2,-1.134886265E0,9.024022102E0,4.261809349E0,1.004410079E1
7.790557700E-2,-1.204320192E0,9.076695442E0,4.228289127E0,1.008539619E1
7.990542300E-2,-1.494027495E0,9.239506721E0,4.170826912E0,1.024677509E1
8.190742300E-2,-1.539518714E0,9.186832428E0,4.252232075E0,1.023960378E1
8.390942300E-2,-1.388679385E0,9.095849991E0,4.379128456E0,1.019017583E1
8.591142300E-2,-9.744698405E-1,8.865999222E0,4.678412914E0,1.007189560E1
8.791342300E-2,-5.770202279E-1,8.652909279E0,4.915446281E0,9.968319993E0
8.991542300E-2,-4.142095447E-1,8.573898315E0,4.975303173E0,9.921539373E0
9.191742300E-2,-2.849186957E-1,8.420664787E0,5.011217117E0,9.803115378E0
9.391942300E-2,-2.873129845E-1,8.303344727E0,5.023188591E0,9.708784992E0
9.591792300E-2,-3.280156553E-1,8.262641907E0,5.027976990E0,9.677778576E0
9.791992300E-2,-3.782954216E-1,8.174054146E0,5.049525738E0,9.615403204E0
9.992192300E-2,-3.447755575E-1,8.080677032E0,5.066285610E0,9.543765576E0
1.019239230E-1,-2.944957912E-1,7.996877670E0,5.075862408E0,9.476347367E0
1.039259230E-1,-1.795706153E-1,7.910684109E0,5.083045483E0,9.404707335E0
1.059263460E-1,-4.788549617E-2,7.855615616E0,5.114171028E0,9.373779122E0
1.079266920E-1,9.577099234E-3,7.822095871E0,5.099805355E0,9.337734746E0
1.099286920E-1,9.816526622E-2,7.721536160E0,5.116565228E0,9.263422521E0
1.119306920E-1,1.675992310E-1,7.659285069E0,5.147690773E0,9.229921861E0
1.139290770E-1,2.178790122E-1,7.642525196E0,5.162056446E0,9.225101050E0
1.159310770E-1,2.825244367E-1,7.582668304E0,5.126142502E0,9.157183826E0
1.179330770E-1,3.256213665E-1,7.551542759E0,5.049525738E0,9.090079070E0
1.199300770E-1,3.304099143E-1,7.553936958E0,5.016005516E0,9.073667705E0
1.219303850E-1,3.040728867E-1,7.510839939E0,4.920234680E0,8.984090729E0
1.239323850E-1,2.777358890E-1,7.518023014E0,4.798126698E0,8.922994288E0
1.259343850E-1,2.705530524E-1,7.506051540E0,4.723904133E0,8.872952098E0
1.279363850E-1,2.370332032E-1,7.508445740E0,4.635315895E0,8.827179369E0
1.299383850E-1,2.681587934E-1,7.503657341E0,4.570670605E0,8.790211170E0
1.319403850E-1,2.777358890E-1,7.498868465E0,4.525179386E0,8.762842801E0
1.339405000E-1,3.088614643E-1,7.491685867E0,4.458139896E0,8.723288593E0
1.359425000E-1,3.256213665E-1,7.518023014E0,4.412648678E0,8.723426372E0
1.379445000E-1,3.232271075E-1,7.539571285E0,4.403071404E0,8.737084680E0
1.399433850E-1,3.256213665E-1,7.585062504E0,4.403071404E0,8.776459437E0
