"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.872999907E0,8.427000046E0,5.018000126E0,1.022001876E1
1.000000000E-2,-2.872999907E0,8.427000046E0,5.018000126E0,1.022001876E1
2.000000000E-2,-2.872999907E0,8.427000046E0,5.018000126E0,1.022001876E1
3.000000000E-2,-2.872999907E0,8.427000046E0,5.018000126E0,1.022001876E1
4.000000000E-2,-2.872999907E0,8.427000046E0,5.018000126E0,1.022001876E1
5.671753900E-2,-2.872999907E0,8.427000046E0,5.018000126E0,1.022001876E1
6.600207700E-2,-2.490000010E0,8.121000290E0,6.742000103E0,1.084459825E1
7.599577000E-2,-2.528000116E0,8.083000183E0,8.083000183E0,1.170728698E1
8.648407700E-2,-2.528000116E0,8.236000061E0,8.312000275E0,1.197129192E1
9.601053900E-2,-2.565999985E0,8.197999954E0,7.967999935E0,1.171667965E1
1.060060770E-1,-2.604000092E0,8.121000290E0,7.469999790E0,1.133721126E1
1.160065390E-1,-2.719000101E0,8.236000061E0,6.703999996E0,1.096212910E1
1.259952310E-1,-2.872999907E0,8.274000168E0,6.013999939E0,1.062456599E1
1.360105390E-1,-2.987999916E0,8.236000061E0,5.362999916E0,1.027237113E1
1.460265390E-1,-3.101999998E0,8.388999939E0,4.826000214E0,1.016307050E1
1.560962310E-1,-3.141000032E0,8.427000046E0,4.788000107E0,1.018848154E1
1.660112310E-1,-2.757999897E0,8.427000046E0,5.056000233E0,1.020705793E1
1.760003080E-1,-2.719000101E0,8.236000061E0,6.396999836E0,1.077711768E1
1.859968460E-1,-2.642999887E0,8.274000168E0,6.320000172E0,1.074183082E1
1.963686930E-1,-2.604000092E0,8.312000275E0,6.166999817E0,1.067249042E1
2.060044620E-1,-2.528000116E0,8.312000275E0,6.052000046E0,1.058805165E1
2.159901540E-1,-2.490000010E0,8.350999832E0,5.975999832E0,1.056654495E1
2.259995390E-1,-2.450999975E0,8.350999832E0,5.936999798E0,1.053539585E1
2.360236160E-1,-2.413000107E0,8.350999832E0,6.013999939E0,1.057023949E1
2.460326930E-1,-2.413000107E0,8.350999832E0,6.129000187E0,1.063609002E1
2.560091540E-1,-2.375000000E0,8.350999832E0,6.282000065E0,1.071649887E1
2.660073080E-1,-2.335999966E0,8.312000275E0,6.434999943E0,1.076826210E1
2.759928460E-1,-2.335999966E0,8.312000275E0,6.589000225E0,1.086099297E1
2.860078460E-1,-2.298000097E0,8.274000168E0,6.703999996E0,1.089419566E1
2.959981540E-1,-2.298000097E0,8.274000168E0,6.742000103E0,1.091762101E1
3.059929230E-1,-2.298000097E0,8.236000061E0,6.703999996E0,1.086536320E1
3.159930770E-1,-2.335999966E0,8.197999954E0,6.664999962E0,1.082064340E1
3.260106930E-1,-2.375000000E0,8.197999954E0,6.589000225E0,1.078252068E1
3.359955390E-1,-2.413000107E0,8.159000397E0,6.473999977E0,1.069132979E1
